"Ministries/Departments","Head of Expenditure","Detailed Head of Expenditure","Actual 2018-2019 Total","Budget 2019-2020 Total","Revised 2019-2020 Total","Budget 2020-2021 Total"
"Andaman and Nicobar Islands","Secretariat","Total Secretariat","61.17","57.75","64.93","65.77"
"Andaman and Nicobar Islands","Other Establishment","Total Other Establishment","2015.48","2134.98","2263.94","2345.46"
"Andaman and Nicobar Islands","Schemes of UT","Welfare of Tribal and Other Backward Classes","0.77","0.62","0.62","0.76"
"Andaman and Nicobar Islands","Schemes of UT","Disaster Management","12.88","20.57","2.83","19.63"
"Andaman and Nicobar Islands","Schemes of UT","Agriculture and Allied Activities","22.53","23.39","20.54","23.53"
"Andaman and Nicobar Islands","Schemes of UT","Water Supply and Sanitation","104.66","63.47","72.26","62.51"
"Andaman and Nicobar Islands","Schemes of UT","Rural Development","75.08","84.43","79.4","83.9"
"Andaman and Nicobar Islands","Schemes of UT","Power","537.23","495.54","629.28","546.9"
"Andaman and Nicobar Islands","Schemes of UT","Forestry and Wildlife","31.31","29.75","29.82","30.63"
"Andaman and Nicobar Islands","Schemes of UT","Civil Supplies","21.71","21.31","21.81","20.17"
"Andaman and Nicobar Islands","Schemes of UT","Medical and Public Health","135.82","136.06","106.84","111.81"
"Andaman and Nicobar Islands","Schemes of UT","Education, Sports, Arts and Culture","71.71","72.78","73.4","70.02"
"Andaman and Nicobar Islands","Schemes of UT","Social Welfare","77.55","74.42","90.72","92.03"
"Andaman and Nicobar Islands","Schemes of UT","Village and Small Industries","2.77","3.41","4.73","7.77"
"Andaman and Nicobar Islands","Schemes of UT","Information and Publicity","2.9","2.65","2.8","2.38"
"Andaman and Nicobar Islands","Schemes of UT","Labour and Employment","3.57","3.75","5.5","2.3"
"Andaman and Nicobar Islands","Schemes of UT","Road Transport","29.18","29.58","33.12","28.55"
"Andaman and Nicobar Islands","Schemes of UT","Roads and Bridges","185.68","189.21","175.09","187.2"
"Andaman and Nicobar Islands","Schemes of UT","Port and Light Houses","73.52","81.9","115.2","106.69"
"Andaman and Nicobar Islands","Schemes of UT","Shipping","445.48","567.31","556.9","580.3"
"Andaman and Nicobar Islands","Schemes of UT","Civil Aviation","73.05","75.01","87.2","75.01"
"Andaman and Nicobar Islands","Schemes of UT","Tourism","13.96","12.64","13.47","11.09"
"Andaman and Nicobar Islands","Schemes of UT","Public Works","92.45","57.75","63.66","58.36"
"Andaman and Nicobar Islands","Schemes of UT","Housing","46.94","26.3","31.55","26.6"
"Andaman and Nicobar Islands","Schemes of UT","Urban Development","158.3","233.8","168.44","245.77"
"Andaman and Nicobar Islands","Schemes of UT","Police and Fire Control","15.95","17.15","16.37","14.4"
"Andaman and Nicobar Islands","Schemes of UT","Hiring of Transponder","94.47","100","120","128"
"Andaman and Nicobar Islands","Schemes of UT","Other Social Security and Welfare Activities","0.36","0.87","0.49","0.87"
"Andaman and Nicobar Islands","UT's Supplement to Centrally Sponsored Schemes","Total UT's Supplement to Centrally Sponsored Schemes","14.49","15.34","32.67","19.82"
"Andaman and Nicobar Islands","Tribal Area Component","Total Tribal Area Component","228.54","251.22","139.09","260.09"
"Andaman and Nicobar Islands","Grantee / Other Bodies","SOVTECH","4","4","6","5"
"Andaman and Nicobar Islands","Grantee / Other Bodies","Other Grantee Bodies","0.35","0.59","0.46","0.91"
"Andaman and Nicobar Islands","Other Expenditure of UT","Total Other Expenditure of UT","0.03","0.03","0.03","0.03"
"Atomic Energy","Secretariat","Total Secretariat","54.42","58.05","65.13","66"
"Atomic Energy","Atomic Energy Regulatory Board","Total Atomic Energy Regulatory Board","71.87","80","81.31","84.77"
"Atomic Energy","Atomic Research Centres","Bhabha Atomic Research Centre","2422.56","2560.91","2752.17","2836"
"Atomic Energy","Atomic Research Centres","Indira Gandhi Centre for Atomic Research, Kalpakkam","456.96","496.67","492.29","523.24"
"Atomic Energy","Atomic Research Centres","Raja Ramana Centre for Advanced Technology, Indore","298.49","324.83","360.01","349.51"
"Atomic Energy","Atomic Research Centres","Variable Energy Cyclotrone Centre, Kolkata","115.51","121.94","127.79","137.26"
"Atomic Energy","Atomic Research Centres","Atomic Minerals Directorate for Exploration and Research, Hyderabad","300.13","319.39","323.45","341.8"
"Atomic Energy","Fuel Cycle Facility (Nuclear Regulatory Board)","Total Fuel Cycle Facility (Nuclear Regulatory Board)","544.97","544.15","619.15","586.8"
"Atomic Energy","Service Units","Total Service Units","398.8","396.65","433.35","459.63"
"Atomic Energy","Board of Radiation and Isotope Technology (BRIT)","Total Board of Radiation and Isotope Technology (BRIT)","151.91","97.85","100","103.2"
"Atomic Energy","Management Services Group","Total Management Services Group","0.54","0.7","0.77","0.84"
"Atomic Energy","Nuclear Fuel Complex","Gross Budgetary Support","2501.17","2551.83","2651.83","2709.82"
"Atomic Energy","Nuclear Fuel Complex","Less Receipts","-868.71","-2286.29","-2286.29","-2977.95"
"Atomic Energy","Nuclear Fuel Complex","Less Recoveries","-22.25","-70","-70","-25"
"Atomic Energy","Heavy Water Production Facility","Gross Budgetary Support","1101.09","1251.38","1274.58","1511.42"
"Atomic Energy","Heavy Water Production Facility","Less - Recovery","-1172.1","-1201","-1393.91","-1508.74"
"Atomic Energy","R and D Basic Science and Engineering","Total R and D Basic Science and Engineering","1021.3","1320","1169.86","1250"
"Atomic Energy","R and D for Fast Reactor Science and Technology","Total R and D for Fast Reactor Science and Technology","242.4","271","271","300"
"Atomic Energy","Advanced Technologies for Laser, Synchrotron and Accelerator","Total Advanced Technologies for Laser, Synchrotron and Accelerator","145.14","150.99","155","180"
"Atomic Energy","R and D in Exploration and Mining","Total R and D in Exploration and Mining","118.41","138","138","150"
"Atomic Energy","Grants to other Institutions","Total Grants to other Institutions","88.35","154","100","154"
"Atomic Energy","Backend Fuel Cycle Projects","Total Backend Fuel Cycle Projects","281.08","440","530.14","500"
"Atomic Energy","Housing Projects","Total Housing Projects","129.09","169.01","189.69","214.2"
"Atomic Energy","Neighbourhood Development Project (in Kudankulam)","Total Neighbourhood Development Project (in Kudankulam)","...","...","...","..."
"Atomic Energy","Heavy Water Board","Total Heavy Water Board","36.88","53","30","53"
"Atomic Energy","Feedstock","Gross Budgetary Support","1170","1200","1377","1243.76"
"Atomic Energy","Feedstock","Less Recoveries","-42.2","-101.81","-101.81","-49.1"
"Atomic Energy","Heavy Water Pool Management","Gross Budgetary Support","1300","1300","1300","1300"
"Atomic Energy","Heavy Water Pool Management","Less Receipts","-1300","-1300","-1300","-1300"
"Atomic Energy","Radiation and Isotopes Project","Total Radiation and Isotopes Project","30.13","110","158.48","119.12"
"Atomic Energy","Nuclear Power Projects","Total Nuclear Power Projects","57.69","110.42","98","100.12"
"Atomic Energy","Nuclear Fuel Projects","Total Nuclear Fuel Projects","166.51","170","268.7","450.86"
"Atomic Energy","Atomic Energy Regulatory Board Expansion Project","Total Atomic Energy Regulatory Board Expansion Project","16.8","40","28.53","49.38"
"Atomic Energy","Advanced Technology for Acclerator","Total Advanced Technology for Acclerator","70.4","75","66.6","80"
"Atomic Energy","Research and Development Projects","Total Research and Development Projects","159.88","170","260","310"
"Atomic Energy","Industries and Material Projects","Total Industries and Material Projects","78.06","65","36","65"
"Atomic Energy","Fuel Cycle Projects (Fast Reactor Fuel Cycle Fascility)","Total Fuel Cycle Projects (Fast Reactor Fuel Cycle Fascility)","586.99","750","600","600"
"Atomic Energy","Nuclear Fuel Inventory","Gross Budgetary Support","2296.57","3122.06","3322.06","3051"
"Atomic Energy","Nuclear Fuel Inventory","Less Receipts","-2420.54","-2373.06","-2416.67","-2534.97"
"Atomic Energy","Other Autonomous Bodies","Total Other Autonomous Bodies","2145.28","2449.84","2580.45","2833.97"
"Atomic Energy","Nuclear Power Corporation of India Limited (NPCIL)","Total Nuclear Power Corporation of India Limited (NPCIL)","4665","3000","3000","3737"
"Atomic Energy","Uranium Corporation of India Limited","Total Uranium Corporation of India Limited","15","15","15","50"
