Index,Particulars,Type,Actual 2017-2018 Revenue,Actual 2017-2018 Capital,Actual 2017-2018 Total,Budget 2018-2019 Revenue,Budget 2018-2019 Capital,Budget 2018-2019 Total,Revised 2018-2019 Revenue,Revised 2018-2019 Capital,Revised 2018-2019 Total,Budget 2019-2020 Revenue,Budget 2019-2020 Capital,Budget 2019-2020 Total
,,Gross,76257.9,5301.25,81559.15,74349.45,2720.4,77069.85,77593.98,4439.98,82033.96,90145.25,2890.2,93035.45
,,Recoveries,-27942.81,-2234.45,-30177.26,-24269.85,...,-24269.85,-25756.56,-1974.9,-27731.46,-29237.03,-1139.3,-30376.33
,,Receipts,...,...,...,...,...,...,...,...,...,...,...,...
,,Net,48315.09,3066.8,51381.89,50079.6,2720.4,52800,51837.42,2465.08,54302.5,60908.22,1750.9,62659.12
,"A. The Budget allocations, net of recoveries, are given below:",,,,,,,,,,,,,
,CENTRE'S EXPENDITURE,,,,,,,,,,,,,
,Establishment Expenditure of the Centre,,,,,,,,,,,,,
1,Secretariat,,142.64,...,142.64,159,...,159,177.11,...,177.11,192.97,...,192.97
2,Direction and Administration,,52.85,...,52.85,64.54,...,64.54,63.56,...,63.56,64.71,...,64.71
3,Central Government Health Scheme,,1149.24,33.19,1182.43,1251.52,53.17,1304.69,1275.03,44.52,1319.55,1300,50,1350
4,"Safdarjung Hospital and Vardhman Mahavir Medical College, New Delhi",,798.24,529.05,1327.29,1041.47,120,1161.47,1056.75,124.67,1181.42,1089.6,121.9,1211.5
5,"Dr. Ram Manohar Lohia Hospital and Dr. RML PGIMER, New Delhi",,506.89,58.21,565.1,508.76,53.73,562.49,585.72,96.73,682.45,637,113,750
6,Lady Hardinge Medical College and Smt. S.K. Hospitals,,346.32,14.92,361.24,386.34,24.4,410.74,410.77,38.3,449.07,450.7,24.4,475.1
7,"Kalawati Saran Children's Hospital, New Delhi",,91.01,6.84,97.85,103.56,8.25,111.81,108,11.25,119.25,113.65,11.25,124.9
8,Other Hospitals / Institutions,,603.76,133.52,737.28,825.58,186.73,1012.31,757.99,76.66,834.65,787.73,171.02,958.75
,Total-Establishment Expenditure of the Centre,,3690.95,775.73,4466.68,4340.77,446.28,4787.05,4434.93,392.13,4827.06,4636.36,491.57,5127.93
,Central Sector Schemes/Projects,,,,,,,,,,,,,
9,Pardhan Mantri Swasthya Suraksha Yojana,,,,,,,,,,,,,
9.01,Support from  Gross Budgetary Support (GBS),,...,...,...,1850.1,1974.9,3825,...,...,...,...,...,...
9.02,Support from National Investment Fund (NIF),,924.82,2234.45,3159.27,...,...,...,...,...,...,...,...,...
9.03,Central Roads & Infrastructure Fund (CRIF),,...,...,...,...,...,...,1850.1,1974.9,3825,2230.7,1139.3,3370
9.04,Repayment of Principal from HEFA Loan,,...,...,...,...,...,...,...,...,...,550,...,550
9.05,Payment of Interest on HEFA Loan,,...,...,...,...,...,...,...,...,...,80,...,80
