Type,Tax Category,Tax Sub Category,Tax Particular,Major Head,Actual 2018-2019,Budget 2019-2020,Revised 2019-2020,Budget 2020-2021
Tax Revenue,Corporation Tax,,Collections,20,580045.1,657312,528317.31,589326.92
Tax Revenue,Corporation Tax,,Surcharge,20,58004.54,73950,58701.92,65480.77
Tax Revenue,Corporation Tax,,Education Cess,20,25521.98,34738,23480.77,26192.31
Tax Revenue,Corporation Tax,,Penalties,20,...,...,...,...
Tax Revenue,Corporation Tax,,Interest Recoveries,20,...,...,...,...
Tax Revenue,Corporation Tax,,Tax on Distributed Profits of Domestic Companies,20,...,...,...,...
Tax Revenue,Corporation Tax,,Tax on Distributed Income to Unit Holders,20,...,...,...,...
Tax Revenue,Corporation Tax,,Miscellaneous Receipts,20,...,...,...,...
Tax Revenue,Taxes on Income,,Collections,21,399211.83,495191,473365.38,540865.38
Tax Revenue,Taxes on Income,,Surcharge,21,44482.63,39618,52596.15,60096.15
Tax Revenue,Taxes on Income,,Health and Education Cess,21,17793.05,21391,21038.46,24038.46
Tax Revenue,Taxes on Income,,Penalties,21,...,...,...,...
Tax Revenue,Taxes on Income,,Interest Recoveries,21,...,...,...,...
Tax Revenue,Taxes on Income,,Tax Under Black Money,21,...,...,...,...
Tax Revenue,Taxes on Income,,Miscellaneous Receipts,21,...,...,...,...
Tax Revenue,Taxes on Income,,Banking Transaction Tax (BCTT),36,...,...,...,...
Tax Revenue,Taxes on Income,,Security Transaction Tax,34,11527.5,12800,12500,13000
Tax Revenue,Taxes on Income,,Hotel Receipts Tax,23,0.44,...,...,...
Tax Revenue,Taxes on Income,,Interest Tax,24,3.19,...,...,...
Tax Revenue,Taxes on Income,,Fringe Benefit Tax,26,-31.59,...,...,...
Tax Revenue,Taxes on Income,Other Taxes on Income and Expenditure,Other Taxes on Income and Expenditure,28,15.81,...,...,...
Tax Revenue,Wealth Tax,,Estate Duty,31,1.12,...,...,...
Tax Revenue,Wealth Tax,,Taxes on Wealth,32,39.74,...,...,...
Tax Revenue,Customs,Import Duties,Basic Duties,37,104783.26,142940,110445,124000
Tax Revenue,Customs,Import Duties,Additional Duty of Customs(CVD),37,1835.31,...,3000,...
Tax Revenue,Customs,Import Duties,Special CV Duty,37,78.07,...,...,...
Tax Revenue,Customs,Import Duties,Additional Duty of Custom on High Speed Diesel Oil,37,3,...,...,...
Tax Revenue,Customs,Import Duties,National Calamity Contingent Duty,37,2.36,545,890,930
Tax Revenue,Customs,Import Duties,Education Cess,37,75.94,...,...,...
Tax Revenue,Customs,Import Duties,Secondary and Higher Education Cess,37,23.46,...,...,...
Tax Revenue,Customs,Import Duties,Social Welfare Surcharge,37,8864.8,10080,9000,10200
Tax Revenue,Customs,,Export Duty,37,-891.7,224,-935,220
Tax Revenue,Customs,,Cesses on Exports,37,1536,315,1550,1600
Tax Revenue,Customs,,Other Receipts,37,1502.35,1800,1050,1050
Tax Revenue,Union Excise Duties,,Basic and Special Excise Duties excluding Cess on Motor Spirit and High Speed Diesel Oil,38,69351.86,109046,75080,82390
Tax Revenue,Union Excise Duties,,Additional Duty of Excise on Motor Spirit,38,15307.79,...,...,...
Tax Revenue,Union Excise Duties,,Additional Duty of Excise on High Speed Diesel Oil,38,44272.66,...,...,...
Tax Revenue,Union Excise Duties,,National Calamity Contingent Duty,38,1797.8,1935,1900,2000
Tax Revenue,Union Excise Duties,,Special Additional Duty of Excise on Motor Spirit,38,31177.59,41000,37500,40500
Tax Revenue,Union Excise Duties,,Surcharge on Pan Masala and Tobacco Products,38,0.2,...,...,...
Tax Revenue,Union Excise Duties,Cesses administrated by Department of Revenue,Education Cess,38,3.59,...,...,...
Tax Revenue,Union Excise Duties,Cesses administrated by Department of Revenue,Secondary & Higher Education Cess,38,1.86,...,...,...
Tax Revenue,Union Excise Duties,Cesses administrated by Department of Revenue,Cess on Crude Oil,38,17814.23,21000,15000,16500
Tax Revenue,Union Excise Duties,Cesses administrated by Department of Revenue,Cess on Bidi,38,-0.03,...,...,...
Tax Revenue,Union Excise Duties,Cesses administrated by Department of Revenue,Cess on Sugar,38,13.4,...,...,...
Tax Revenue,Union Excise Duties,Cesses administrated by Department of Revenue,Cess on Automobiles,38,0.08,...,...,...
Tax Revenue,Union Excise Duties,Cesses administrated by Department of Revenue,Others,38,-27.49,...,...,...
Tax Revenue,Union Excise Duties,Cesses administrated by Department of Revenue,Clean Environment Cess (Erstwhile-Clean Energy Cess),38,4.88,...,20,...
Tax Revenue,Union Excise Duties,Cesses administrated by Department of Revenue,Infrastructure Cess,38,6.36,...,...,...
Tax Revenue,Union Excise Duties,Cesses administrated by Department of Revenue,Duty of Excise on Motor Spirit and High Speed Diesel Oil (Road and Infrastructure Cess),38,51266.03,127019,118500,125610
Tax Revenue,Union Excise Duties,Cesses administered by Other Departments,Coal & Coke,38,1.78,...,...,...
Tax Revenue,Union Excise Duties,Cesses administered by Other Departments,Rubber,38,...,...,...,...
Tax Revenue,Union Excise Duties,Cesses administered by Other Departments,Prevention & Control of ( Air & Water ) Pollution,45,7,...,12,...
Tax Revenue,Union Excise Duties,Cesses administered by Other Departments,Research and Development,45,45.34,...,...,...
Tax Revenue,Union Excise Duties,Cesses administered by Other Departments,Beedi Fund,38,...,...,...,...
